brand,date_added,description,name,regular_price,sale_price,short_description,url
Villa Maria Estate,,,Villa Maria Lightly Sparkling Sauvignon Blanc,0,30,,https://www.asherbws.com/product/villa-maria-lightly-sparkling-sauvignon-blanc/
Long Dai ( Lafite ),,Description,Long Dai 瓏岱丘山 (Lafite) 2017,0,608,"Extremely perfumed with hazelnuts, dried flowers, currants and berries. Some cranberries, too. Full-bodied, extremely soft and velvety with reserved and refined character at the finish. Polished, creamy texture. Some minerally undertones. Succulent and long with a juicy finish. It’s linear and long with air. Distinguished. Cabernet sauvignon, marselan and cabernet franc. Already very drinkable, but better in 2022. James Suckling 94 pts",https://www.asherbws.com/product/long-dai-%e7%93%8f%e5%b2%b1%e4%b8%98%e5%b1%b1-lafite-2017/
Greywhacke,,,Greywacke Marlborough Sauvignon Blanc,0,42,,https://www.asherbws.com/product/greywacke-marlborough-sauvignon-blanc/
Greywhacke,,,Greywacke Wild Marlborough Sauvignon Blanc,0,49,,https://www.asherbws.com/product/greywacke-wild-marlborough-sauvignon-blanc/
USA,,,Brandlin Estate Napa Valley Cabernet Sauvignon,0,109,,https://www.asherbws.com/product/brandlin-estate-napa-valley-cabernet-sauvignon-2/
Sileni Estates,,,Sileni Cellar Selection Sparkling Sauvignon Blanc x 6 Bottles,0,183,,https://www.asherbws.com/product/sileni-cellar-selection-sparkling-sauvignon-blanc-x-6-bottles/
Saint Clair,,,Saint Clair Marlborough Sauvignon Blanc,0,29.9,,https://www.asherbws.com/product/saint-clar-marlborough-sauvignon-blanc/
Copper Dog,,,Copper Dog Whisky 70cl,0,78.4,,https://www.asherbws.com/product/copper-dog-whisky-70cl/
Macallan,,,Macallan Double Cask 18 Years,0,371.96,,https://www.asherbws.com/product/macallan-double-cask-18-years/
Bollinger,,,Bollinger Rose x 6 Bottles,0,594,,https://www.asherbws.com/product/bollinger-rose-x-6-bottles/
Louis Roederer,,,Louis Roederer Brut Premier,0,63,,https://www.asherbws.com/product/louis-roederer-brut-premier/
Saint Clair,,,Saint Clair Marlborough Pinot Noir,0,29.9,,https://www.asherbws.com/product/saint-clair-marlborough-pinot-noir/
Bodega Cantena Zapata,,,Bodega Catena Zapata Mundus Bacillus Terrae Malbec 2011,0,348,,https://www.asherbws.com/product/bodega-catena-zapata-mundus-bacillus-terrae-malbec-2011/
Bodega Cantena Zapata,,,Bodega Catena Zapata Adrianna Fortuna Terrae Malbec,0,143,,https://www.asherbws.com/product/bodega-catena-zapata-adrianna-fortuna-terrae-malbec/
Sileni Estates,,,Sileni Cellar Selection Sparkling Sauvignon Blanc x 12 Bottles,0,347,,https://www.asherbws.com/product/sileni-cellar-selection-sparkling-sauvignon-blanc-x-12-bottles/
Bodega Cantena Zapata,,,Bodega Catena Zapata Adrianna River Stone 2015,0,167,,https://www.asherbws.com/product/bodega-catena-zapata-adrianna-river-stone-2015/
Bodega Cantena Zapata,,,Bodega Catena Zapata Nicasia 2011,0,119,,https://www.asherbws.com/product/bodega-catena-zapata-nicasia-2011/
Bodega Cantena Zapata,,,Bodega Catena Zapata Catena Malbec 2017,0,51,,https://www.asherbws.com/product/bodega-cantena-malbec-2017/
Grant Burge,,,Grant Burge Benchmark Merlot,0,32,,https://www.asherbws.com/product/grant-burge-benchmark-merlot/
Bodega Cantena Zapata,,,Bodega Catena Zapata Vista Flores Malbec 2014,0,55,,https://www.asherbws.com/product/bodega-catena-zapata-vista-flores-malbec-2014/
Bodega Lagarde,,,Bodega Lagarde Guarda Malbec DOC,0,43.5,,https://www.asherbws.com/product/bodega-lagarde-guarda-malbec-doc/
Bodega Lagarde,,,Bodega Lagarde Primeras Vinas Malbec,0,74,,https://www.asherbws.com/product/bodega-lagarde-primeras-vinas-malbec/
Bodega Lagarde,,,Bodega Lagarde Lagarde Malbec DOC,0,34,,https://www.asherbws.com/product/bodega-lagarde-lagarde-malbec-doc/
Bollinger,,,Bollinger Rose,0,109,,https://www.asherbws.com/product/bollinger-rose/
Bodega Luigi Bosca,,"Description





La Linda Old Vines Malbec is a bright purple red. The nose offers a remarkable tipicity with fruit-forward aromas of fresh plums, flowers, and a delicate well-integrated vanilla accent, delivered by its partially age-ing in oak. Powerful and juicy on the palate, framed by firm tannins and well-balanced acidity",Bodega Luigi Bosca Finca La Linda Malbec Old Vines,0,43.9,,https://www.asherbws.com/product/bodega-luigi-bosca-finca-la-linda-malbec-old-vines/
Brugal,,,Brugal Blanco Rum 700ml,0,52,,https://www.asherbws.com/product/brugal-blanco-rum-700ml/
