brand,description,name,oos,price,short_description,url
LOUIS ROEDERER,"Product Weight1.3 kgLouis Roederer, a wonderful family-owned Champagne house founded in 1776, has a tremendous reputation for quality.The Louis Roederer House has remained an independent, family-owned company and is now managed by Frédéric Rouzaud, who represents the seventh generation of the lineage. 80% of the firm's needs are supplied by their own, magnificent, 444 acres of vineyard holdings.  Louis Roederer's Pinot Noir based non-vintage Brut Premier is powerful and richly-honeyed and is far superior to most other producers` vintage Champagnes. In 1876 Louis Roederer created the now famous Cristal, at the request of Alexander II.Tasting Notes :The 2012 Brut Nature is showing beautifully, bursting from the glass with an expressive bouquet of lemon oil, crisp green apple, wheat toast, hazelnuts and wet stones. On the palate, it's full-bodied, ample and fleshy, with its generous core of concentrated and delicately sun-kissed fruit girdled by brisk acids and undeniable mineral grip and complemented by a delicate pinpoint mousse.Grape Varieties : 55% Pinot Noir, 25% Pinot Meunier and 20% Chardonnay,Country :FranceSize :750 ml.",LOUIS ROEDERER BRUT NATURE - CHAMPAGNE - 2012,,146,"Louis Roederer, a wonderful family-owned Champagne house founded in 1776, has a tremendous reputation for quality.The Louis Roederer House has remained an independent, family-owned company and is now managed by Frédéric Rouzaud, who represents the seventh generation of the lineage. 80% of the firm's needs are supplied by their own, magnificent, 444 acres of vineyard holdings.  Louis Roederer's Pinot Noir based non-vintage Brut Premier is powerful and richly-honeyed and is far superior to most other producers` vintage Champagnes. In 1876 Louis Roederer created the now famous Cristal, at the request of Alexander II.Read more",https://www.krisshop.com/en/product/0a8139a311759116/louis-roederer-brut-nature-champagne-2012.html
CUVELIER LOS ANDES,"Product Weight1.3 kgCuvelier Los Andes is owned by Bertrand and Jean-Guy Cuvelier, part-owners of renowned Bordeaux Chateau Leoville-Poyferre in Saint Julien. The estate is located in the Uco Valley at the foothills of the Andes and encompasses 115 acres of still young vines. The consulting winemaker is Michel Rolland. At the beginning of the 20th century, Paul Cuvelier and his young brother Albert, anticipating the inevitable rise in ""Chateau-bottled wines"" to the detriment of the ""tailor-made"" blends of the wine merchants, decided to purchase top quality estates in the Bordeaux area. They bought Chateau Le Crock in 1903, then Chateau Camensac in 1912 and finally the prestigious Chateau Leoville Poyferre in 1920. It is interesting to note that, in early 1914, Paul Cuvelier had already come to Argentina, to discover the wines of Mendoza. In 1998 Bertrand Cuvelier made the happy choice of personally accompanying Michel Rolland in his great Argentine project, which was to become the Clos de los Siete group. Three years later, Jean-Guy Cuvelier decided to join his cousin Bertrand in the joint aim of building a winery and producing fine wines worthy of the family tradition.Tasting Note :Appearance: medium-intensity brilliant red with attractive ruby reflections.Aroma: an excellent example of a Merlot with notes of blackberry and raspberry marmalade,spice and minerals. Very aromatic.Mouth: the mouth coincides nicely with the nose, invoking marmalade well-combined with spice and minerals. A nice,medium-intensity finish. Very juicy and easy to drink.Grape Varietal :MerlotCountry : ArgentinaSize : 750 ml",CUVELIER LOS ANDES - MERLOT - 2016,,52,"Cuvelier Los Andes is owned by Bertrand and Jean-Guy Cuvelier, part-owners of renowned Bordeaux Chateau Leoville-Poyferre in Saint Julien. The estate is located in the Uco Valley at the foothills of the Andes and encompasses 115 acres of still young vines. The consulting winemaker is Michel Rolland. At the beginning of the 20th century, Paul Cuvelier and his young brother Albert, anticipating the inevitable rise in ""Chateau-bottled wines"" to the detriment of the ""tailor-made"" blends of the wine merchants, decided to purchase top quality estates in the Bordeaux area. They bought Chateau Le Crock in 1903, then Chateau Camensac in 1912 and finally the prestigious Chateau Leoville Poyferre in 1920. It is interesting to note that, in early 1914, Paul Cuvelier had already come to Argentina, to discover the wines of Mendoza. In 1998 Bertrand Cuvelier made the happy choice of personally accompanying Michel Rolland in his great Argentine project, which was to become the Clos de los Siete group. Three years later, Jean-Guy Cuvelier decided to join his cousin Bertrand in the joint aim of building a winery and producing fine wines worthy of the family tradition.Read more",https://www.krisshop.com/en/product/79be215056cf4ff1/cuvelier-los-andes-merlot-2016.html
PENFOLDS,"Product Weight8.32 kgPenfolds Cellar Reserve wines are alternative, limited release wines that explore the innovative boundaries of viticulture, vinificationand style.Cellar Reserve Sangiovese was first released in the 1990’s and is sourced exclusively from the Barossa Valley. This Italian variety has adapted extremely well to Australian conditions. The fruit is particularly intense, with small berries, strong colours, deep flavours and slinky, dry tannin structures. This wine is naturally fermented in the Penfolds Magill Estate vintage cellar in open fermenters and later matured in seasoned French oak barriques. Tasting Note : A finely-woven texture etched with tingling Sangiovese acidity. Black olive puree/tapenade flavours propel fruits across palate. An inky impression, graphite, background oak and mouth-coating tannins… All linked. Barossa by birthright, Tuscany by inspiration, Cellar Reserve by Penfolds.Grape Varietal : SangioveseCountry : AustraliaSize : 750 ml.",PENFOLD CELLAR RESERVE - BAROSSA - SANGIOVESE - 2016,,118,"Penfolds Cellar Reserve wines are alternative, limited release wines that explore the innovative boundaries of viticulture, vinificationand style.Cellar Reserve Sangiovese was first released in the 1990’s and is sourced exclusively from the Barossa Valley. This Italian variety has adapted extremely well to Australian conditions. The fruit is particularly intense, with small berries, strong colours, deep flavours and slinky, dry tannin structures.This wine is naturally fermented in the Penfolds Magill Estate vintage cellar in open fermenters and later matured in seasoned French oak barriques.  Read more",https://www.krisshop.com/en/product/dcfdf1d46f4d5ba6/penfold-cellar-reserve-barossa-sangiovese-2016.html
PENFOLDS,"Product Weight11.86 kgPenfolds RWT Shiraz presents an admirable alternative to the multi-regional sourcing and American oak maturation that are hallmarks of Grange, expressing instead, single-region Barossa Valley Shiraz matured only in French oak. RWT is made from fruit primarily selected for its aromatic qualities and fine texture. The result is a wine that helps to redefine Barossa Shiraz at the highest quality level.Tasting Note : A firm and binding structure, medium-bodied. Focussed/defined, yet still generous. Mouth-watering acidity clutching opulent fruits renders an impressive pathway cleaved across front/middle/back palate ... a pathway all ably assisted by chalky tannins and absorbed integrated oak. Currently youthful and energetic, yet this vintage already impatiently awaits its secondary and tertiary maturation phases.Grape Varietal : ShirazCountry : AustraliaSize : 750 ml.",PENFOLDS RWT BIN 798 - BAROSSA - SHIRAZ - 2017,,228,"Penfolds RWT Shiraz presents an admirable alternative to the multi-regional sourcing and American oak maturation that are hallmarks of Grange, expressing instead, single-region Barossa Valley Shiraz matured only in French oak. RWT is made from fruit primarily selected for its aromatic qualities and fine texture. The result is a wine that helps to redefine Barossa Shiraz at the highest quality level.Read more",https://www.krisshop.com/en/product/dd0b91d46f58f662/penfolds-rwt-bin-798-barossa-shiraz-2017.html
DOMAINES BARONS DE ROTHSCHILD,"Product Weight1.3 kgAmancaya, like its older brother (Caro) presents a harmonious balance between the Argentine and Bordeaux styles. The wine is more fruity due to the higher percentage of Malbec and shorter ageing. The word AMANCAYA is the native Indian name of a flower found at high altitudes in the Andes in the Mendoza area.Tasting Notes : Deep ruby color. The nose is intense with notes of white flowers, red cherries and figs. The palate is juicy and complex with hints of cloves and other spices. This well balanced wine is an elegant expression of the blend of Malbec and Cabernet Sauvignon.Grapes Varietes : 67% Malbec, 33% Cabernet Sauvignon.Country : ArgentinaSize : 750 ml.",BODEGAS CARO 'AMANCAYA' - MALBEC / CABERNET SAUVIGNON - ARGENTINA - 2018,,48,"Amancaya, like its older brother (Caro) presents a harmonious balance between the Argentine and Bordeaux styles. The wine is more fruity due to the higher percentage of Malbec and shorter ageing. The word AMANCAYA is the native Indian name of a flower found at high altitudes in the Andes in the Mendoza area.Read more",https://www.krisshop.com/en/product/461ee4c26f4e9208/bodegas-caro-amancaya-malbec-cabernet-sauvignon-argentina-2018.html
DOMAINES BARONS DE ROTHSCHILD,"Product Weight1.3 kgFor its tenth anniversary, Bodegas CARO chose to celebrate the grape that has come to symbolize Argentina’s vineyards by selecting a pure Malbec: ARUMA! Originally from France, Malbec (Cahors) was introduced to Argentina by a Frenchman, Jean Pouget, in 1868, which coincidentally was the same year James de Rothschild purchased Château Lafite. A very fruity, exuberant, powerful grape, Malbec has adapted wonderfully to the Mendoza region where the sunshine and cool nights soften its tannins and reveal its velvety-smoothness. “ARUMA” means the “night” in the language of the Quechua, the native Indians of the Mendoza region. We chose this name because it is the intense darkness of the nights in the Andes and the pure mountain air that give the wines the rich, authentic character of their terroir. ARUMA - the wine of the mountain nights.Tasting Notes : The robe is deep red with hints of violet. The nose reveals aromas of plum and red fruit. The palate is fresh and elegant, with remarkable balance between tannins, acidity and alcohol. Long, delicate finish. Overall, a very convivial, attractive wine.Grapes Varietes : 100% MalbecCountry : ArgentinaSize : 750 ml.",BODEGAS CARO 'ARUMA' - MALBEC - ARGENTINA - 2019,,38,"For its tenth anniversary, Bodegas CARO chose to celebrate the grape that has come to symbolize Argentina’s vineyards by selecting a pure Malbec: ARUMA! Originally from France, Malbec (Cahors) was introduced to Argentina by a Frenchman, Jean Pouget, in 1868, which coincidentally was the same year James de Rothschild purchased Château Lafite. Read more",https://www.krisshop.com/en/product/461b06c26f4ae317/bodegas-caro-aruma-malbec-argentina-2019.html
CUVELIER LOS ANDES,"Product Weight1.3 kgCuvelier Los Andes is owned by Bertrand and Jean-Guy Cuvelier, part-owners of renowned Bordeaux Chateau Leoville-Poyferre in Saint Julien. The estate is located in the Uco Valley at the foothills of the Andes and encompasses 115 acres of still young vines. The consulting winemaker is Michel Rolland. At the beginning of the 20th century, Paul Cuvelier and his young brother Albert, anticipating the inevitable rise in ""Chateau-bottled wines"" to the detriment of the ""tailor-made"" blends of the wine merchants, decided to purchase top quality estates in the Bordeaux area. They bought Chateau Le Crock in 1903, then Chateau Camensac in 1912 and finally the prestigious Chateau Leoville Poyferre in 1920. It is interesting to note that, in early 1914, Paul Cuvelier had already come to Argentina, to discover the wines of Mendoza. In 1998 Bertrand Cuvelier made the happy choice of personally accompanying Michel Rolland in his great Argentine project, which was to become the Clos de los Siete group. Three years later, Jean-Guy Cuvelier decided to join his cousin Bertrand in the joint aim of building a winery and producing fine wines worthy of the family tradition.Tasting Note :Appearance: medium-intensity ruby red with purplish tones.Aroma:complex and seductive with notes of humus, red pepper and spices such as cinnamon and black pepper.Mouth:good and intense first mouth still showing its youth though tannins are soft and well-polished. Beautiful and long finishGrape Varietal :Cabernet SauvignonCountry : ArgentinaSize : 750 ml",CUVELIER LOS ANDES - CABERNET SAUVIGNON - 2017,,52,"Cuvelier Los Andes is owned by Bertrand and Jean-Guy Cuvelier, part-owners of renowned Bordeaux Chateau Leoville-Poyferre in Saint Julien. The estate is located in the Uco Valley at the foothills of the Andes and encompasses 115 acres of still young vines. The consulting winemaker is Michel Rolland. At the beginning of the 20th century, Paul Cuvelier and his young brother Albert, anticipating the inevitable rise in ""Chateau-bottled wines"" to the detriment of the ""tailor-made"" blends of the wine merchants, decided to purchase top quality estates in the Bordeaux area. They bought Chateau Le Crock in 1903, then Chateau Camensac in 1912 and finally the prestigious Chateau Leoville Poyferre in 1920. It is interesting to note that, in early 1914, Paul Cuvelier had already come to Argentina, to discover the wines of Mendoza. In 1998 Bertrand Cuvelier made the happy choice of personally accompanying Michel Rolland in his great Argentine project, which was to become the Clos de los Siete group. Three years later, Jean-Guy Cuvelier decided to join his cousin Bertrand in the joint aim of building a winery and producing fine wines worthy of the family tradition.Read more",https://www.krisshop.com/en/product/79c10f5056d166b2/cuvelier-los-andes-cabernet-sauvignon-2017.html
DOMAINES BARONS DE ROTHSCHILD,"Product Weight1.3 kgLos Vascos wines blend Lafite tradition with the unique terroir of Chile to create elegant wines that bring exceptional to the everyday. The vision of Domaines Barons de Rothschild (Lafite) to expand their estate took them to South America in 1988, becoming the first French viticultural investment in modern Chile. Since then, a comprehensive modernization and investment program has been undertaken, oriented towards the production of fine wine using and adapting the viticultural experiences of Bordeaux and other areas where Domaines Barons de Rothschild (Lafite) is present. The vineyards are in the Casablanca Valley located further north between Santiago and Valparaíso, which is renowned for its great Sauvignon Blanc production as well as some in Colchagua Andes and the Leyda Valley.Tasting Notes : Ruby red color with beautiful brick-like nuances. Ripe plum and cherry-scented nose that also features notes of licorice, saffron, cinnamon, and nutmeg that enhance the complexity of aromas. Notes of graphite, clove, dark chocolate and cedar take the experience to a whole new level. Le Dix 2016 is a smooth and supple wine with sweet and friendly tannins. A joyful intellectual. Serve at 16-18ºCGrape Varieties : Cabernet Sauvignon 85%, Syrah 5%, Carmenère 5%, Cabernet Franc 5%.Country :ChileSize : 750 ml.",LOS VASCOS 'LE DIX' - 2016,,92,"Los Vascos wines blend Lafite tradition with the unique terroir of Chile to create elegant wines that bring exceptional to the everyday. The vision of Domaines Barons de Rothschild (Lafite) to expand their estate took them to South America in 1988, becoming the first French viticultural investment in modern Chile. Read more",https://www.krisshop.com/en/product/13948ea316b7eb38/los-vascos-le-dix-2016.html
POL REMY,"Product Weight1.3 kgPol Remy is produced in Burgundy, France, from classic wine varieties perfect for the production of sparkling wine.Tasting Note : 
Nice white-gold colour. Fine and persistent foam. Fruity and delicate with some vinous nuances. A very good blanace between vinosity and roundness. Exudes aromas of creamy lemon and peach. The palate is gently off-dry and flows through to a satisfying finish.Grapes Varietals : Chardonnay, Sauvignon Blanc, Ugni blancCountry : FranceSize : 750 ml",POL REMY BRUT NV,,28,"Pol Remy is produced in Burgundy, France, from classic wine varieties perfect for the production of sparkling wine.""Talk about outstanding value for money; this bottle fermented French bubbly sets a new high when it comes to top value for money"" Read more",https://www.krisshop.com/en/product/3b925b2c609ae275/pol-remy-brut-nv.html
ARMAND DE BRIGNAC,"Product Weight1.3 kgArmand de Brignac Gold Brut was the first cuvée introduced to the portfolio and is the flagship. The Cattier family’s ambition during a New Year’s celebration in Chigny-les-Roses was to create the very best prestige cuvée for the 21st century, while still reflecting the rich traditions of winemaking in Champagne. It is in this way that the mastery of blending – vintages, terroirs and grape varieties – is at the essence of Armand de Brignac’s philosophy. ASSEMBLAGE 40% Pinot Noir, 40% Chardonnay and 20% Pinot Meunier.Tasting notes;Peach, apricot and red berry aromas are followed by crystalized citrus, orange blossom and hints of brioche. The palate is rich with cherries, exotic fruits and a touch of lemon, vanilla and honey. The mouth feel is soft and creamy, with a hint of toastiness, from the unique Armand de Brignac dosage which is aged for one year in French oak barrels.Cellaring potential:Drinking beautifully now or can be rested under ideal cellaring conditions, until 2025. Food pairing:Ideal as an aperitif or pairs perfectly with seared scallops, roasted quail and fresh water fish.France",CHAMPAGNE ARMAND DE BRIGNAC BRUT GOLD,,543,"Armand de Brignac Gold Brut was the first cuvée introduced to the portfolio and is the flagship. The Cattier family’s ambition during a New Year’s celebration in Chigny-les-Roses was to create the very best prestige cuvée for the 21st century, while still reflecting the rich traditions of winemaking in Champagne. It is in this way that the mastery of blending – vintages, terroirs and grape varieties – is at the essence of Armand de Brignac’s philosophy. Read more",https://www.krisshop.com/en/product/405bf29aa3b1126c/champagne-armand-de-brignac-brut-gold.html
PENFOLDS,"Product Weight1.7 kgSteeped in Penfolds winemaking tradition yet still embracing modernity, Bin 704 seeks to redefine Napa Valley cabernet through a Penfolds lens. The name Bin 704 draws inspiration from the ""mirror"" or ""reverse"" image of its Australian Bin 407 stablemate, a wine which also respects varietal expression.NOSEA classic cabernet nose of black currant, blue berry and slight herbal hints, the French oak provides subtle spice and toasty notesPALATEFresh, ripe and elegant with ripe black fruits, cedar and vanilla from the oak and lively acidity and tannins to give body and structure.""",PENFOLDS BIN 704 - CABERNET SAUVIGNON - NAPA VALLEY - 2018,,155,"This brand new project from Penfolds is decades in the making and combines wine from California and Australia with master winemaker Peter Gago at the helm. The success of Penfolds has been driven by the generations of visionaries and innovators and this project incapsulates just how innovative and iconoclastic this producer really is, always pushing the boundries of what is possible.Read more",https://www.krisshop.com/en/product/b51c09355c1e5d52/penfolds-bin-704-cabernet-sauvignon-napa-valley-2018.html
KAY BROTHERS,"Product Weight1.3 kgTasting Notes: Deep ruby colour. Intense aromas of violets, fennel, sage, boysenberry, marzipan, cigar box and a hint of cedar. Layers of concentrated cherries and dark chocolate followed by slowly building fine-grained graphite like tannins of immense length. Rich and concentrated with power and finesse.Region: McLaren Vale.Grapes: 100% Shiraz.Country: Australia.",KAY BROTHERS 'BLOCK 6' SHIRAZ - McLAREN VALE - 2016,,126,"Tasting Notes: Deep ruby colour. Intense aromas of violets, fennel, sage, boysenberry, marzipan, cigar box and a hint of cedar. Layers of concentrated cherries and dark chocolate followed by slowly building fine-grained graphite like tannins of immense length. Rich and concentrated with power and finesse.Region: McLaren Vale.Grapes: 100% Shiraz.Country: Australia.Read more",https://www.krisshop.com/en/product/da0d6126cd61df8b/kay-brothers-block-6-shiraz-mclaren-vale-2016.html
PENFOLDS,"Product Weight1.66 kgBin 600 is intinsically linked to Penfolds beginnings in California. In 1998, Penfolds imported a heritage selection of vine cuttings from South Australia's esteemed Kalimna and Magill Estate vineyards, and planted them in Californian soil. The original name of the Camatta Hills vineyard was Creston ""600"" Ranch, a special place in the Penfolds California timeline for is serves as a reference point to the start of our American journey.NOSERich and spicy with black berry, white pepper, vanilla and mocha notes.PALATEFull bodied and intense with black and red fruit notes, pepper and liquorice spice and a long finish with toasty oak notes.",PENFOLDS BIN 600 - CABERNET/SHIRAZ - CALIFORNIA - 2018,,118,"This brand new project from Penfolds is decades in the making and combines wine from California and Australia with master winemaker Peter Gago at the helm. The success of Penfolds has been driven by the generations of visionaries and innovators and this project incapsulates just how innovative and iconoclastic this producer really is, always pushing the boundries of what is possible.Read more",https://www.krisshop.com/en/product/b51ee7355c205943/penfolds-bin-600-cabernet-shiraz-california-2018.html
