business_name,category,description,keyvals,product_link,product_name,regular_price,sale_price
tls,wine,"Bain's is the first South African single grain whisky, made in Wellington at the James Sedgwick distillery. Bain's has made an impressive debut in the UK, picking up a Gold Medal at the International Wine & Spirits Competition in 2010 and a Silver at the International Spirits Competition before crowning that with the title of World's Best Grain Whisky at the World Whisky Awards.","{""Volume"": ""70cl"", ""ABV"": ""40%"", ""Type"": ""Single\u00a0Grain\u00a0Scotch Whisky"", ""Age"": ""-"", ""With Box"": ""No""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/bains-cape-mountain-whisky-founder-distiller,Bain's Cape Mountain Whisky Founder Distiller,[131.0],[148.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Ballantine's 12 Years old"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""whisky\u00a0(Scotch Whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/ballantines-12-years-old-70cl,Ballantine's 12 Years old 70cl,[69.95],[79.8]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Ballantine's Finest"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""whisky\u00a0(Scotch Whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/ballantines-finest-75cl,Ballantine's Finest 70cl,[41.8],[48.1]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Ballantine's Finest"", ""Volume:"": ""1000ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""whisky\u00a0(Scotch Whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/ballantines-finest-1l,Ballantine's Finest 1L,[59.9],[62.9]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Ballantine's 17 Years old"", ""Volume:"": ""750ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""whisky\u00a0(Scotch Whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/ballantines-17-years-old-75cl,Ballantine's 17 Years old 75cl,[84.6],[119.0]
tls,wine,,"{""Volume"": ""700ml"", ""ABV"": ""46%"", ""Type"": ""Single Malt Scotch Whisky"", ""Age"": ""18"", ""With Box"": ""Yes""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/aultmore-18-years-old,Aultmore 18 Years Old,[179.0],[358.0]
tls,wine,,"{""What You Will Get:"": ""1 Bottle of Chivas Regal 15 Years XV"", ""Volume:"": ""750ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Blended whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/chivas-regal-15-years-xv-blended-75cl,Chivas Regal 15 Years XV 75cl,[129.8],[138.8]
tls,wine,,"{""What You Will Get:"": ""1 Bottle of Auchentoshan Three Wood"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""43%"", ""Type:"": ""Single Malt Scotch Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/auchentoshan-three-wood,Auchentoshan Three Wood,[76.9],[169.0]
tls,wine,,,https://www.theliquorshop.com.sg/collections/whisky-singapore/products/auchentoshan-18-years-old,Auchentoshan 18 Years Old,[125.0],[249.0]
tls,wine,,"{""What You Will Get:"": ""1 Bottle of Auchentoshan\u00a0Springwood"", ""Volume:"": ""1000ml."", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Single Malt Scotch Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/auchentoshan-springwood,Auchentoshan Springwood 1L,[99.9],[129.0]
